#Time since start in ms ,GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),Heading direction (°)
8039,-6.41,-8.48,-11.72,24.76
8058,-9.34,-2.56,0.79,24.76
8078,-9.34,-2.56,0.79,24.76
8097,-4.76,5.31,2.08,22.85
8118,-4.76,5.31,2.08,22.85
8138,-4.76,5.31,2.08,22.85
8157,-4.76,5.31,2.08,22.23
8179,-1.22,2.5,1.47,22.23
8198,-1.22,2.5,1.47,24.01
8218,-1.22,2.5,1.47,24.01
8237,-4.88,-4.94,8.85,24.01
8257,-4.88,-4.94,8.85,24.01
8278,-4.88,-4.94,8.85,24.01
8297,-4.88,-4.94,8.85,24.01
8318,15.81,1.46,8.67,24.01
8338,15.81,1.46,8.67,24.01
8358,15.81,1.46,8.67,23.46
8377,2.81,0.31,17.21,23.46
8398,2.81,0.31,17.21,23.46
8417,2.81,0.31,17.21,19.72
8438,3.17,-0.79,3.97,19.72
8457,3.17,-0.79,3.97,19.72
8480,3.17,-0.79,3.97,19.13
8498,3.17,-0.79,3.97,19.13
8517,0.43,6.1,5.43,19.13
8538,0.43,6.1,5.43,19.13
8557,0.43,6.1,5.43,19.13
8579,-10.44,8.42,12.02,20.87
8598,-10.44,8.42,12.02,20.87
8618,-10.44,8.42,12.02,20.87
8637,-41.02,-18.62,0.86,20.87
8657,-41.02,-18.62,0.86,20.87
8678,-41.02,-18.62,0.86,20.87
8698,-41.02,-18.62,0.86,19.68
8717,-1.46,-5,3.23,19.68
8737,-1.46,-5,3.23,21.43
8757,-1.46,-5,3.23,21.43
8778,-1.46,-5,3.23,21.43
8798,-2.87,-5.92,-10.07,23.09
8817,-2.87,-5.92,-10.07,23.09
8839,24.72,1.34,-10.01,23.09
8858,24.72,1.34,-10.01,23.09
8879,24.72,1.34,-10.01,23.09
8897,24.72,1.34,-10.01,24.93
8918,0.73,7.51,-0.79,24.93
8938,0.73,7.51,-0.79,24.93
8957,0.73,7.51,-0.79,24.12
8977,0.73,7.51,-0.79,24.12
8997,11.9,4.94,-12.51,24.51
9018,11.9,4.94,-12.51,24.51
9037,11.9,4.94,-12.51,24.51
9057,0.61,0,-5.86,26.23
9078,0.61,0,-5.86,26.23
9098,-3.11,4.03,-1.04,26.23
9120,-3.11,4.03,-1.04,26.23
9138,-3.11,4.03,-1.04,26.23
9158,-3.11,4.03,-1.04,26.23
9177,-3.11,4.03,-1.04,20.17
9198,-2.14,9.58,-11.53,20.17
9218,-2.14,9.58,-11.53,23.92
9237,-2.14,9.58,-11.53,23.92
9257,-2.2,3.17,0.55,23.92
9277,-2.2,3.17,0.55,24.2
9297,-2.2,3.17,0.55,24.2
